year,school-1,school-2,score-1,score-2,school-1-result
2008,Braintree,Norwood,,,
2008,Braintree,Walpole,,,
2008,Braintree,Wellesley,,,
2008,Braintree,Weymouth,,,
2008,Brookline,Dedham,,,
2008,Brookline,Framingham,,,
2008,Brookline,Natick,,,
2008,Brookline,Needham,101,83,W
2008,Brookline,Newton North,,,
2008,Brookline,Norwood,,,
2008,Brookline,Walpole,,,
2008,Brookline,Wellesley,,,
2008,Brookline,Weymouth,,,
2008,Dedham,Framingham,,,
2008,Dedham,Natick,,,
2008,Dedham,Needham,82,93,L
2008,Dedham,Newton North,,,
2008,Dedham,Norwood,,,
2008,Dedham,Walpole,,,
2008,Dedham,Wellesley,,,
2008,Dedham,Weymouth,,,
2008,Framingham,Natick,,,
2008,Framingham,Needham,97,81,W
2008,Framingham,Newton North,,,
2008,Framingham,Norwood,,,
2008,Framingham,Walpole,,,
2008,Framingham,Wellesley,,,
2008,Framingham,Weymouth,,,
2008,Natick,Needham,86,95,L
2008,Natick,Newton North,,,
2008,Natick,Norwood,,,
2008,Natick,Walpole,,,
2008,Natick,Wellesley,,,
2008,Natick,Weymouth,,,
2008,Needham,Newton North,103,84,W
2008,Needham,Norwood,,,W
2008,Needham,Walpole,81,100,L
2008,Needham,Wellesley,93,92,W
2008,Needham,Weymouth,,,W
2008,Newton North,Norwood,,,
2008,Newton North,Walpole,,,
2008,Newton North,Wellesley,,,
2008,Newton North,Weymouth,,,
2008,Norwood,Walpole,,,
2008,Norwood,Wellesley,,,
2008,Norwood,Weymouth,,,
2008,Walpole,Wellesley,,,
2008,Walpole,Weymouth,,,
2008,Wellesley,Weymouth,,,
2007,Braintree,Brookline,,,
2007,Braintree,Dedham,,,
2007,Braintree,Framingham,,,
2007,Braintree,Natick,,,
2007,Braintree,Needham,,,L
2007,Braintree,Newton North,,,
2007,Braintree,Norwood,,,
2007,Braintree,Walpole,,,
2007,Braintree,Wellesley,,,
2007,Braintree,Weymouth,,,
2007,Brookline,Dedham,,,
2007,Brookline,Framingham,,,
2007,Brookline,Natick,,,
2007,Brookline,Needham,105,78,W
2007,Brookline,Newton North,,,
2007,Brookline,Norwood,,,
2007,Brookline,Walpole,,,
2007,Brookline,Wellesley,,,
2007,Brookline,Weymouth,,,
2007,Dedham,Framingham,,,
2007,Dedham,Natick,,,
2007,Dedham,Needham,91,95,L
2007,Dedham,Newton North,,,
2007,Dedham,Norwood,,,
2007,Dedham,Walpole,,,
2007,Dedham,Wellesley,,,
2007,Dedham,Weymouth,,,
2007,Framingham,Natick,,,
2007,Framingham,Needham,,,
2007,Framingham,Newton North,,,
2007,Framingham,Norwood,,,
2007,Framingham,Walpole,,,
2007,Framingham,Wellesley,,,
2007,Framingham,Weymouth,,,
2007,Natick,Needham,,,W
2007,Natick,Newton North,,,
2007,Natick,Norwood,,,
2007,Natick,Walpole,,,
2007,Natick,Wellesley,,,
2007,Natick,Weymouth,,,
2007,Needham,Newton North,96,85,W
2007,Needham,Norwood,94,89,W
2007,Needham,Walpole,99.5,84.5,W
2007,Needham,Wellesley,,,
2007,Needham,Weymouth,,,W
2007,Newton North,Norwood,,,
